 "event" , "date" ,
 "__bnode127894" , " na 1726" ,
 "__bnode128586" , "na 1707" ,
 "__bnode132753" , "na 1854" ,
 "__bnode145880" , "na 1808" ,
 "__bnode168540" , " na 1889" ,
 "__bnode178176" , "na 1584" ,
 "__bnode210176" , "in of na 1587" ,
 "__bnode226294" , "na 1537" ,
 "__bnode232810" , " na 1612" ,
 "__bnode232818" , " na 1612" ,
 "__bnode164708" , "na 1588" ,
 "__bnode185972" , "na 1589" ,
 "__bnode19914" , "na 1604" ,
 "__bnode7107" , " na 1711" ,
 "__bnode231007" , "na 5 juli 1651" ,
 "__bnode254348" , "na 1780" ,
 "__bnode254433" , "na 1657" ,
 "__bnode266415" , "na 1712" ,
 "__bnode266559" , "in of na 1405" ,
 "__bnode267145" , "na 1776" ,
 "__bnode268030" , " na 1640" ,
 "__bnode271210" , "in of na 1706" ,
 "__bnode276339" , "na 1400" ,
 "__bnode279433" , "na 1772?" ,
 "__bnode279442" , "na 1772" ,
 "__bnode280717" , "na 1740" ,
 "__bnode280732" , " na 1740" ,
 "__bnode280740" , " na 1740" ,
 "__bnode281371" , "na 1646" ,
 "__bnode281470" , "na augustus 1612" ,
 "__bnode287773" , "na 1657" ,
 "__bnode299730" , " na 1885" ,
 "__bnode299738" , " na 1885" ,
 "__bnode300799" , "na 1750" ,
 "__bnode302972" , "na 1772" ,
 "__bnode309772" , "na 54" ,
 "__bnode309983" , "na 1746" ,
 "__bnode315391" , " na 1780" ,
 "__bnode322708" , "na 1650" ,
 "__bnode340744" , " na 1513" ,
 "__bnode340752" , " na 1513" ,
 "__bnode342580" , "na 30 juni 1673" ,
 "__bnode348990" , "na 1650" ,
 "__bnode362673" , " na 1869" ,
 "__bnode375680" , "na 1671" ,
 "__bnode382212" , "na 1515" ,
 "__bnode383329" , "na 1797" ,
 "__bnode386485" , "in of na 1625" ,
 "__bnode396521" , "na 1641" ,
 "__bnode399273" , "na 1807" ,
 "__bnode400407" , " na 1793" ,
 "__bnode400431" , " na 1793" ,
 "__bnode412272" , "na 1593" ,
 "__bnode412948" , "na 1746" ,
 "__bnode421741" , "na 1630" ,
 "__bnode424428" , "na 1881" ,
 "__bnode427144" , "na 1692" ,
 "__bnode428767" , "op of na 9 mei 1800" ,
 "__bnode428804" , "na 1449" ,
 "__bnode436278" , "na 1706" ,
 "__bnode459835" , " na 1675" ,
 "__bnode459843" , " na 1675" ,
 "__bnode460030" , "in of na 1628" ,
 "__bnode460870" , "na 1629" ,
 "__bnode463063" , "na 1573" ,
 "__bnode469338" , "na 1713" ,
 "__bnode477272" , "na 1647" ,
 "__bnode477299" , "na 1647" ,
 "__bnode478853" , " na 1632" ,
 "__bnode484058" , "na 1661" ,
 "__bnode388585" , "in of na 1665" ,
 "__bnode6027" , "na 1676" ,
 "__bnode15316" , "na 1712" ,
 "__bnode494054" , "na 13 maart 1693" ,
 "__bnode496344" , "na 1684" ,
 "__bnode496966" , "na 1665" ,
 "__bnode498484" , "na 1653" ,
 "__bnode499913" , "na 1602" ,
 "__bnode499929" , "na 1602" ,
 "__bnode505073" , "na 1706" ,
 "__bnode511317" , "na 1690" ,
 "__bnode511922" , "na 1875" ,
 "__bnode514391" , "na 1490" ,
 "__bnode514569" , "na 1740" ,
 "__bnode516525" , "na 1625" ,
 "__bnode516542" , "na 1625" ,
 "__bnode521849" , "na 1663" ,
 "__bnode524403" , "na. 1668" ,
 "__bnode525341" , "na 1952" ,
 "__bnode525817" , "na 19 juli 1700" ,
 "__bnode526435" , "na 1427" ,
 "__bnode527039" , " na 1883" ,
 "__bnode527047" , " na 1883" ,
 "__bnode527424" , "na 1635" ,
 "__bnode531159" , "na 1676" ,
 "__bnode536043" , "na 1595" ,
 "__bnode536076" , "na 1423" ,
 "__bnode537461" , "na 1678" ,
 "__bnode537968" , "na 1709" ,
 "__bnode539267" , "na 1740" ,
 "__bnode542013" , "na 1772" ,
 "__bnode544691" , "na 1635" ,
 "__bnode546341" , "na 1347" ,
 "__bnode548549" , "na 1604" ,
 "__bnode562307" , "na 1683" ,
 "__bnode564793" , "na 1598" ,
 "__bnode571610" , "in of na 1509" ,
 "__bnode572382" , "na 1934" ,
 "__bnode573119" , "na 1674" ,
 "__bnode573187" , " na 1597" ,
 "__bnode573195" , " na 1597" ,
 "__bnode573203" , " na 1597" ,
 "__bnode574179" , "na 4 oktober 1979" ,
 "__bnode587426" , " na 1889" ,
 "__bnode587434" , " na 1889" ,
 "__bnode587447" , "na 13 november 1525" ,
 "__bnode587651" , "na 1360" ,
 "__bnode590341" , "na 1468" ,
 "__bnode592107" , "in of na 1618" ,
 "__bnode593790" , "na 1650" ,
 "__bnode595065" , "na 29 december 1839" ,
 "__bnode601682" , "na 1690" ,
 "__bnode611187" , "na 1631" ,
 "__bnode611950" , "na 1741" ,
 "__bnode612527" , "na 1709" ,
 "__bnode614910" , "na 1682" ,
 "__bnode619131" , "na 1649" ,
 "__bnode619147" , "na 1649" ,
 "__bnode620116" , "na 1579" ,
 "__bnode621509" , "na 1573" ,
 "__bnode622614" , "na 1623" ,
 "__bnode631036" , " na 1671" ,
 "__bnode631044" , " na 1671" ,
 "__bnode631052" , " na 1671" ,
 "__bnode631060" , " na 1671" ,
 "__bnode632087" , " na 1630" ,
 "__bnode632095" , " na 1630" ,
 "__bnode634559" , " na 1662" ,
 "__bnode634567" , " na 1662" ,
 "__bnode640151" , "na 1620" ,
 "__bnode644564" , "na 1965" ,
 "__bnode647430" , "na 1723" ,
