 "event" , "date" ,
 "__bnode83594" ,  ? ,
 "__bnode86768" , " ?(17de eeuw)" ,
 "__bnode94685" ,  ? ,
 "__bnode95199" ,  ? ,
 "__bnode97193" ,  ? ,
 "__bnode106613" , " ?(18de eeuw)" ,
 "__bnode106614" ,  ? ,
 "__bnode115455" ,  ? ,
 "__bnode128242" ,  ? ,
 "__bnode131711" ,  ? ,
 "__bnode134451" , " 1681?" ,
 "__bnode135346" ,  ? ,
 "__bnode140097" , " ?(17de eeuw)" ,
 "__bnode146221" , " ?(18de eeuw)" ,
 "__bnode148046" ,  ? ,
 "__bnode152988" , " ?(17de eeuw)" ,
 "__bnode158842" ,  ? ,
 "__bnode159528" ,  ? ,
 "__bnode159536" ,  ? ,
 "__bnode159910" , " ?(18de eeuw)" ,
 "__bnode165831" ,  ? ,
 "__bnode177837" , " ?(16de eeuw)" ,
 "__bnode180881" , " ?(18de eeuw)" ,
 "__bnode184484" , " ?(19de eeuw)" ,
 "__bnode185109" , " ?(19de eeuw)" ,
 "__bnode187941" , " ?(16de eeuw)" ,
 "__bnode188223" , " ?(18de eeuw)" ,
 "__bnode188231" , " ?(18de eeuw)" ,
 "__bnode192260" ,  ? ,
 "__bnode192398" , " ?(17de eeuw)" ,
 "__bnode193661" , " ?(18de eeuw)" ,
 "__bnode207609" ,  ? ,
 "__bnode211317" ,  ? ,
 "__bnode212160" ,  ? ,
 "__bnode217069" , " ?(17de eeuw)" ,
 "__bnode217078" ,  ? ,
 "__bnode218735" , " ?(18de eeuw)" ,
 "__bnode219222" , " ?(14de eeuw)" ,
 "__bnode222933" , " ?(14de eeuw)" ,
 "__bnode225523" , " ?(17de eeuw)" ,
 "__bnode230140" ,  ? ,
 "__bnode230651" , " ?(15de eeuw)" ,
 "__bnode243457" , " ?(17de eeuw)" ,
 "__bnode243534" ,  ? ,
 "__bnode245358" ,  ? ,
 "__bnode245628" , " ?(18de eeuw)" ,
 "__bnode246388" ,  ? ,
 "__bnode246528" ,  ? ,
 "__bnode247181" ,  ? ,
 "__bnode236938" ,  ? ,
 "__bnode198382" ,  ? ,
 "__bnode115081" ,  ? ,
 "__bnode96657" ,  ? ,
 "__bnode247366" ,  ? ,
 "__bnode247374" ,  ? ,
 "__bnode183900" ,  ? ,
 "__bnode21375" , " ?(17de eeuw)" ,
 "__bnode8367" , " ?(18de eeuw)" ,
 "__bnode18201" ,  ? ,
 "__bnode32089" , " ?(17de eeuw)" ,
 "__bnode2543" ,  ? ,
 "__bnode148398" , " 1484?" ,
 "__bnode68511" , " ?(17de eeuw)" ,
 "__bnode248315" , " ?(18de eeuw)" ,
 "__bnode248316" ,  ? ,
 "__bnode248323" , " ?(18de eeuw)" ,
 "__bnode248324" ,  ? ,
 "__bnode248332" ,  ? ,
 "__bnode249023" ,  ? ,
 "__bnode250038" ,  ? ,
 "__bnode250046" ,  ? ,
 "__bnode252479" , " ?(18de eeuw)" ,
 "__bnode252480" ,  ? ,
 "__bnode254189" ,  ? ,
 "__bnode254197" ,  ? ,
 "__bnode254198" , " ?(18de eeuw)" ,
 "__bnode254664" ,  ? ,
 "__bnode254766" , " ?(16de eeuw)" ,
 "__bnode257392" ,  ? ,
 "__bnode257399" , " ?(19de eeuw)" ,
 "__bnode257400" ,  ? ,
 "__bnode260347" , " ?(17de eeuw)" ,
 "__bnode262574" , " ?(18de eeuw)" ,
 "__bnode262575" ,  ? ,
 "__bnode262729" ,  ? ,
 "__bnode263256" ,  ? ,
 "__bnode263263" , " ?(18de eeuw)" ,
 "__bnode263264" ,  ? ,
 "__bnode263611" , " ?(17de eeuw)" ,
 "__bnode263612" ,  ? ,
 "__bnode266825" ,  ? ,
 "__bnode267276" , " ?(17de eeuw)" ,
 "__bnode267284" , " ?(17de eeuw)" ,
 "__bnode267285" ,  ? ,
 "__bnode267292" , " ?(17de eeuw)" ,
 "__bnode267683" ,  ? ,
 "__bnode268451" , " ?(17de eeuw)" ,
 "__bnode268459" , " ?(17de eeuw)" ,
 "__bnode268460" ,  ? ,
 "__bnode268503" , " ?(17de eeuw)" ,
 "__bnode269753" , " ?(15de eeuw)" ,
 "__bnode269762" ,  ? ,
 "__bnode269769" , " ?(15de eeuw)" ,
