 "event" , "date" ,
 "__bnode164440" , "voor 1194" ,
 "__bnode60908" , "voor 16 maart 1638" ,
 "__bnode2805" , "voor 1528" ,
 "__bnode201971" , "voor 1382" ,
 "__bnode252372" , "voor 14 april 1701" ,
 "__bnode263117" , "kort voor 31 december 1698" ,
 "__bnode265939" , "voor 6 februari 1631" ,
 "__bnode283466" , "voor 1338" ,
 "__bnode283478" , "voor 1370" ,
 "__bnode303494" , "voor 1525" ,
 "__bnode310784" , "voor 15 januari 1615" ,
 "__bnode312188" , "voor 1546" ,
 "__bnode312646" , "voor 1563" ,
 "__bnode330174" , "voor 1802" ,
 "__bnode337907" , "voor 1619" ,
 "__bnode338073" , "voor 1667" ,
 "__bnode340735" , " voor 1490" ,
 "__bnode340751" , " voor 1490" ,
 "__bnode341822" , "voor augustus 1561" ,
 "__bnode343609" , "voor 1603" ,
 "__bnode359412" , "voor 1615" ,
 "__bnode381712" , "voor 1664" ,
 "__bnode403796" , "voor 1599" ,
 "__bnode429729" , " voor 1330" ,
 "__bnode429737" , " voor 1330" ,
 "__bnode429761" , " voor 1330" ,
 "__bnode429769" , " voor 1330" ,
 "__bnode437350" , "overleden voor 1500" ,
 "__bnode439677" , "voor 1616" ,
 "__bnode449010" , "voor 1675" ,
 "__bnode466150" , "voor 1536" ,
 "__bnode477512" , "voor 1107" ,
 "__bnode482182" , "voor 23 april 1692" ,
 "__bnode483212" , "voor 1433" ,
 "__bnode485929" , "voor 20 augustus 1642" ,
 "__bnode485945" , "voor 20 augustus 1642" ,
 "__bnode485961" , "voor 20 augustus 1642" ,
 "__bnode493366" , "voor 1717" ,
 "__bnode54508" , "voor 1534" ,
 "__bnode13085" , "voor 19 mei 1681" ,
 "__bnode14974" , "voor 1636" ,
 "__bnode45678" , "voor 21 januari 1621" ,
 "__bnode511444" , "voor 1702" ,
 "__bnode516861" , " voor 1661" ,
 "__bnode516869" , " voor 1661" ,
 "__bnode516877" , " voor 1661" ,
 "__bnode516885" , " voor 1661" ,
 "__bnode533761" , "voor 1400" ,
 "__bnode544872" , "voor 1 maart 1636" ,
 "__bnode549855" , "voor 1620" ,
 "__bnode558774" , "voor 1612" ,
 "__bnode562615" , "voor 1390" ,
 "__bnode565060" , "voor 25 september 1582" ,
 "__bnode573055" , "voor juli 1133" ,
 "__bnode574006" , "voor 1578" ,
 "__bnode574636" , "voor 6 maart 1443" ,
 "__bnode593834" , "voor 1691" ,
 "__bnode595412" , " voor 1600" ,
 "__bnode595420" , " voor 1600" ,
 "__bnode595428" , " voor 1600" ,
 "__bnode595436" , " voor 1600" ,
 "__bnode606058" , "voor 1149" ,
 "__bnode615019" , "voor 1532" ,
 "__bnode627124" , " voor 1613" ,
 "__bnode627179" , "voor 1750" ,
 "__bnode628910" , "voor 1767" ,
 "__bnode629301" , "voor 1633" ,
 "__bnode632986" , "voor 1725" ,
 "__bnode640454" , "voor 14 februari 1673" ,
 "__bnode648673" , "waarschijnlijk voor 1600" ,
 "__bnode649629" , "voor 1626" ,
 "__bnode656978" , "voor 1382" ,
 "__bnode662824" , "voor 1670" ,
 "__bnode674591" , "voor 1535" ,
 "__bnode678710" , "voor 1718" ,
 "__bnode682685" , "voor 1580" ,
 "__bnode684526" , " voor 1600" ,
 "__bnode684534" , " voor 1600" ,
 "__bnode686402" , "voor 1725" ,
 "__bnode696672" , " voor 1624" ,
 "__bnode696680" , " voor 1624" ,
 "__bnode696688" , " voor 1624" ,
 "__bnode696696" , " voor 1624" ,
 "__bnode696704" , " voor 1624" ,
 "__bnode700228" , "voor 25 april 1556" ,
 "__bnode701860" , "voor 1602" ,
 "__bnode703422" , "voor 1563" ,
 "__bnode712659" , "Voor 12 augustus 1625" ,
 "__bnode716580" , "voor 1560" ,
 "__bnode720861" , "voor 31 juli 1811" ,
 "__bnode726437" , "voor 12 mei 1291" ,
 "__bnode727043" , "voor 10 april 1680" ,
 "__bnode728666" , " voor 1652" ,
 "__bnode728674" , " voor 1652" ,
 "__bnode728682" , " voor 1652" ,
 "__bnode729312" , "voor 1832" ,
 "__bnode731064" , "voor 1600" ,
 "__bnode745874" , "voor 1576" ,
 "__bnode754666" , "voor 1 november 1608" ,
 "__bnode783559" , "voor 1370" ,
 "__bnode783606" , "voor 1280" ,
 "__bnode815083" , "voor 1540" ,
 "__bnode817538" , "voor 9 oktober 1664" ,
 "__bnode843215" , "voor 9 mei 1577" ,
 "__bnode864615" , "voor 1192" ,
 "__bnode866468" , "voor 20 aug. 1447" ,
 "__bnode883328" , "voor 1527" ,
 "__bnode883329" , "voor 1560" ,
 "__bnode886736" , "voor 1548" ,
 "__bnode899319" , "voor 1701" ,
 "__bnode901007" , "voor 1546" ,
 "__bnode903428" , "voor 1393" ,
 "__bnode906041" , "voor 1534" ,
 "__bnode909805" , " voor 1596" ,
 "__bnode909813" , " voor 1596" ,
 "__bnode914455" , "voor 1570" ,
 "__bnode924714" , "voor 1556" ,
 "__bnode926039" , "voor 1182" ,
 "__bnode928535" , "voor 22 maart 1753" ,
 "__bnode941468" , "voor 6 februari 1659" ,
 "__bnode945039" , "voor 1577" ,
 "__bnode953536" , "voor 1590" ,
 "__bnode955131" , "voor 28 april 1731" ,
 "__bnode957339" , "voor 1434" ,
 "__bnode969412" , "voor 17 mei 1553" ,
 "__bnode970410" , " voor 1655" ,
 "__bnode970418" , " voor 1655" ,
 "__bnode977540" , "voor oktober 1635" ,
 "__bnode978780" , "voor 1485" ,
 "__bnode984820" , " voor 1673" ,
 "__bnode984828" , " voor 1673" ,
 "__bnode984836" , " voor 1673" ,
 "__bnode984844" , " voor 1673" ,
 "__bnode984852" , " voor 1673" ,
 "__bnode985878" , "voor 1633" ,
 "__bnode728658" , " voor 1652" ,
 "__bnode136263" , "voor 15 mei 1276" ,
 "__bnode112506" , "voor 1234" ,
 "__bnode595404" , " voor 1600" ,
 "__bnode340743" , " voor 1490" ,
 "__bnode89669" , " voor 1655" ,
 "__bnode31001" , "voor 1365" ,
 "__bnode992946" , " voor 1691" ,
 "__bnode992954" , " voor 1691" ,
 "__bnode998612" , "voor 1573" ,
 "__bnode1001765" , "voor 1640" ,
 "__bnode1005932" , "voor 1620" ,
 "__bnode1008253" , "voor 1000" ,
 "__bnode1018755" , "voor 1351" ,
 "__bnode1028988" , "voor 1304" ,
 "__bnode1035994" , " voor 1615" ,
 "__bnode1036002" , " voor 1615" ,
 "__bnode1042863" , "voor 24 oktober 1651" ,
 "__bnode1059579" , "voor 1645" ,
 "__bnode1059679" , "voor 11 april 1657" ,
 "__bnode1067657" , "voor 1709" ,
 "__bnode1076757" , "voor 1272" ,
 "__bnode1079982" , "voor 1754" ,
 "__bnode1083929" , "voor 1510" ,
 "__bnode1087769" , "voor 1608" ,
 "__bnode1088513" , "voor 1347" ,
 "__bnode1096054" , "voor 1542" ,
 "__bnode1096973" , "voor 1610" ,
 "__bnode1099062" , "voor 14 april 1777" ,
 "__bnode1101009" , "voor 1720" ,
 "__bnode1106901" , "voor 16 sept. 1649" ,
 "__bnode1113947" , " voor 1612" ,
 "__bnode1113955" , " voor 1612" ,
 "__bnode1113963" , " voor 1612" ,
 "__bnode1113971" , " voor 1612" ,
 "__bnode1113979" , " voor 1612" ,
 "__bnode1116918" , "voor 1488" ,
 "__bnode1129099" , "voor 1560" ,
 "__bnode1136939" , " voor 1721" ,
 "__bnode1142418" , "voor 1640" ,
 "__bnode1151903" , "voor 1515" ,
 "__bnode1152180" , "voor 1662" ,
 "__bnode1153452" , "voor of in 1657" ,
 "__bnode1156917" , "voor 28 juli 1750" ,
 "__bnode1156925" , "voor 28 juli 1750" ,
 "__bnode1157954" , "voor 1586" ,
 "__bnode1170472" , "voor 1621" ,
 "__bnode1171104" , "voor 1590" ,
 "__bnode1187966" , "voor 1252" ,
 "__bnode1197187" , "voor 1563" ,
 "__bnode1205049" , " voor 1727" ,
 "__bnode1205057" , " voor 1727" ,
 "__bnode1221336" , "Voor 1711" ,
 "__bnode1223223" , "voor 1575" ,
 "__bnode1227011" , "voor 1578" ,
 "__bnode1233730" , "voor 1620" ,
 "__bnode1240157" , "voor 1823" ,
 "__bnode1253639" , "voor 1577" ,
 "__bnode1254599" , "voor 1593" ,
 "__bnode1263583" , "voor 1657" ,
 "__bnode1263795" , "voor 1426" ,
 "__bnode1273599" , "voor 1559" ,
 "__bnode1276456" , "voor ca. 128" ,
 "__bnode1299474" , "voor 1706" ,
 "__bnode1303064" , "voor 1585" ,
 "__bnode1304160" , "kort voor 1526" ,
 "__bnode1304180" , "voor 1607" ,
 "__bnode1312729" , "voor 1672" ,
 "__bnode1312926" , "voor 1318" ,
 "__bnode1324793" , "voor 1784" ,
 "__bnode1331351" , "voor 1626" ,
 "__bnode1332135" , "voor 1650" ,
 "__bnode1337107" , "voor of in 1730" ,
 "__bnode1344680" , "voor 1670" ,
 "__bnode1348387" , "voor 1731" ,
 "__bnode1349076" , "voor 1818" ,
 "__bnode1357153" , "voor 1634" ,
 "__bnode1364971" , "voor 25 april 1626" ,
 "__bnode1373465" , "voor 1548" ,
 "__bnode1374341" , "voor 1652" ,
 "__bnode1374614" , "voor 1767" ,
 "__bnode1374627" , "voor 1767" ,
 "__bnode1380758" , "voor 1647" ,
 "__bnode1381980" , "voor 1593" ,
 "__bnode1388063" , " voor 1690" ,
 "__bnode1388071" , " voor 1690" ,
 "__bnode1388079" , " voor 1690" ,
 "__bnode1398010" , "voor april 1796" ,
 "__bnode1398517" , "voor 1270" ,
 "__bnode1404808" , "Voor 1644" ,
 "__bnode1411958" , "voor 18 april 1569" ,
