"title","creator","mediaURL","date"
"La lucerna di Parini : ode","CAVALLOTTI, Felice","https://ranieridisorbello.locloudhosting.net/files/original/7ad7a0c12f7b78aeef0b916dcc65fcb9.JPG","  [1889?] "
"Farne","Schenk, Petrus","http://www.kb.dk/imageService/online_master_arkiv_6/non-archival/Maps/KORTSA/2009/jun/KBK2_2_12/KBK2_2_12_098.jpg"," 1700?"
"Farne","Schenk, Pieter","http://www.kb.dk/imageService/online_master_arkiv_6/non-archival/Maps/KORTSA/2009/jun/KBK2_2_12/KBK2_2_12_098.jpg"," 1700?"
"Farne","Valk,Gerard","http://www.kb.dk/imageService/online_master_arkiv_6/non-archival/Maps/KORTSA/2009/jun/KBK2_2_12/KBK2_2_12_098.jpg"," 1700?"
"Garnsey","Schenk, Petrus","http://www.kb.dk/imageService/online_master_arkiv_6/non-archival/Maps/KORTSA/2009/jun/KBK2_2_12/KBK2_2_12_098.jpg"," 1700?"
"Garnsey","Schenk, Pieter","http://www.kb.dk/imageService/online_master_arkiv_6/non-archival/Maps/KORTSA/2009/jun/KBK2_2_12/KBK2_2_12_098.jpg"," 1700?"
"Garnsey","Valk,Gerard","http://www.kb.dk/imageService/online_master_arkiv_6/non-archival/Maps/KORTSA/2009/jun/KBK2_2_12/KBK2_2_12_098.jpg"," 1700?"
"Holy-Iland","Schenk, Petrus","http://www.kb.dk/imageService/online_master_arkiv_6/non-archival/Maps/KORTSA/2009/jun/KBK2_2_12/KBK2_2_12_098.jpg"," 1700?"
"Holy-Iland","Schenk, Pieter","http://www.kb.dk/imageService/online_master_arkiv_6/non-archival/Maps/KORTSA/2009/jun/KBK2_2_12/KBK2_2_12_098.jpg"," 1700?"
"Holy-Iland","Valk,Gerard","http://www.kb.dk/imageService/online_master_arkiv_6/non-archival/Maps/KORTSA/2009/jun/KBK2_2_12/KBK2_2_12_098.jpg"," 1700?"
"Jarsey","Schenk, Petrus","http://www.kb.dk/imageService/online_master_arkiv_6/non-archival/Maps/KORTSA/2009/jun/KBK2_2_12/KBK2_2_12_098.jpg"," 1700?"
"Jarsey","Schenk, Pieter","http://www.kb.dk/imageService/online_master_arkiv_6/non-archival/Maps/KORTSA/2009/jun/KBK2_2_12/KBK2_2_12_098.jpg"," 1700?"
"Jarsey","Valk,Gerard","http://www.kb.dk/imageService/online_master_arkiv_6/non-archival/Maps/KORTSA/2009/jun/KBK2_2_12/KBK2_2_12_098.jpg"," 1700?"
"Il Moliere : commedia in cinque atti in versi ... ","Goldoni, Carlo","https://ranieridisorbello.locloudhosting.net/files/original/d462cdae925655c132c9f21cc06ffa0c.JPG"," [ 17..?]"
"Orazione alla santità di Pio IX","PIZZOLI, A.","https://ranieridisorbello.locloudhosting.net/files/original/b2b18d797b025826bc286486645fd0c2.JPG"," [ 18..?]"
"Il papa cattolico e i papi protestanti","STOFFELS, Carlo","https://ranieridisorbello.locloudhosting.net/files/original/0af4472db5c73e46b0b8bce6b7fb80a4.JPG"," [ 18..?]"
"Su i preludi filosofici di Giacinto Belierez : osservazioni ","PURGOTTI, Sebastiano","https://ranieridisorbello.locloudhosting.net/files/original/1fda604549114beb6945e413cc998866.JPG"," [ 18..?]"
"Il papa cattolico e i papi protestanti ","STOFFELS, Carlo","https://ranieridisorbello.locloudhosting.net/files/original/f9ee17d5362e544867a4da1173de0662.JPG"," [18..?]"
"Amica veritas ","AMICI DELL'ORDINE","https://ranieridisorbello.locloudhosting.net/files/original/e85e1b20520c8dfd5395c5038b20d008.JPG"," [18..?]"
"Di un partito liberale-conservatore in Italia","Ansidei, Vincenzo","https://ranieridisorbello.locloudhosting.net/files/original/d6f6dc6ddf1ced2539b8472d793cf730.JPG"," [18..?]"
"Invito amoroso che fanno l'anime del Purgatorio ai fedeli viventi ... : operetta nuova","TALENTI, Antonio","https://ranieridisorbello.locloudhosting.net/files/original/6a5f531a97472f536fd019255fc08a97.JPG"," [18..?]"
"Tre sonetti di Ugo Bassi ; La guardia cittadina in Italia ; Il busto di Pio IX ","BASSI, Ugo","https://ranieridisorbello.locloudhosting.net/files/original/808166edda3c217fad26ba25a42f4079.JPG"," [18..?]"
"Feste popolari e sacre avvenute nella città di Perugia dall'istante della ... esaltazione dell'immortale ... Pio IX ... ","BARBANERA, Emilio","https://ranieridisorbello.locloudhosting.net/files/original/4bd86aee5d94ec0f4e93dd611180fb52.JPG"," [1846?]"
"Feste popolari e sacre avenute nella città di Perugia dall'istante della ... esaltazione dell'immortale ... Pio IX ... ","BARBANERA, Emilio","https://ranieridisorbello.locloudhosting.net/files/original/7a72037e311a1f359f65d1f78582151b.JPG"," [1846?]"
"Nuovissima statistica economica dell Stato Pontificio ...","PUCCI, Camillo","https://ranieridisorbello.locloudhosting.net/files/original/af33cc1c296e75225cd9276f00690716.JPG"," [1847?]"
"Come liberammo il Veneto ","CAVIGLIA, Enrico - COTTINI, Giacinto","https://ranieridisorbello.locloudhosting.net/files/original/eec3d911aea0423f2bd6389769589151.JPG"," [19..?]"
"Il passaggio delle truppe spagnole a Perugia nel 1734 e nel 1742","BARBERI, Ugo","https://ranieridisorbello.locloudhosting.net/files/original/17179e954af0f6fa7659364fcdd2df0a.JPG"," [19..?]."
"Canto della madre di Pio IX ","BASSI, Ugo","https://ranieridisorbello.locloudhosting.net/files/original/2f05bb5bdca826828a697ff677bfe7d6.JPG"," [S.l. : s.n., 18..?]"
"Canto della madre di Pio IX ","BASSI, Ugo","https://ranieridisorbello.locloudhosting.net/files/original/ce659f924527628f09d0913970e4f8f8.JPG"," [S.l. : s.n., 18..?]"
"La notte 29 giugno s. Pietro e Pio IX ","BASSI, Ugo","https://ranieridisorbello.locloudhosting.net/files/original/2655810809aa0d3f8c18e2793c8311d8.JPG"," [S.l. : s.n., 18..?]"
"La notte 29 giugno s. Pietro e Pio IX : visione ","BASSI, Ugo","https://ranieridisorbello.locloudhosting.net/files/original/55422b24ef2700231192e9924a86f1b1.JPG"," [S.l. : s.n., 18..?]"
"Corespondenţă Wladimir Hegel - V.A. Urechia 05 august (pag. 2)","Hegel, Wladimir","http://stone.bvau.ro:8282/greenstone/collect/manuscri/index/assoc/J02_4735.dir/02_473532.pdf","&#091;18__?&#093;"
"01 Caragiale : Scrisoarea pierdută","Jiquidi, Aurel","http://stone.bvau.ro:8282/greenstone/collect/litograf/index/assoc/J01_4426.dir/01_442642.jpg","&#091;18__?&#093;"
"Ființa creatoare în compoziția muzicala","Cuclin, Dimitrie","http://stone.bvau.ro:8282/greenstone/collect/manuscri/index/assoc/J02_7180.dir/02_718045.pdf","&#091;192_?&#093;"
"La Theorie de L'Immortalite part. 1-4","Cuclin, Dimitrie","http://stone.bvau.ro:8282/greenstone/collect/manuscri/index/assoc/J718027.dir/718027.pdf","&#091;193_?&#093;"
"Traite_de_la_metaphisique_ou_Recherehes_sur_le_riem","Cuclin, Dimitrie","http://stone.bvau.ro:8282/greenstone/collect/manuscri/index/assoc/J718029.dir/718029.pdf","&#091;193_?&#093;"
"Umbra : Partitură pentru voce și pian (pag. 3)","Cavadia, George","http://stone.bvau.ro:8282/greenstone/collect/manuscri/index/assoc/J03_3923.dir/03_392305.pdf","&#091;19__?&#093;"
"Unde ești? Unde ești? : Partitură pentru voce și pian (pag. 2)","Cavadia, George","http://stone.bvau.ro:8282/greenstone/collect/manuscri/index/assoc/J2MZV850.dir/02_392401.pdf","&#091;19__?&#093;"
"Te 's-Gravenzande (uitgezonderd de duinen).  Overeenkomst betreffende de huur van 151/2 morgen lands in het nieuwbedijkte land, door Aernt Jan's zoon.","Kapittel van St. Marie op het Hof te 's-Gravenhage","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/ebddf789-2926-157b-6bdd-74272d8d8dd8.jpg","(1420?)."
"Te 's-Gravenzande (uitgezonderd de duinen). &gt;&gt; Overeenkomst betreffende de huur van 151/2 morgen lands in het nieuwbedijkte land, door Aernt Jan's zoon.","Kapittel van St. Marie op het Hof te 's-Gravenhage","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/ebddf789-2926-157b-6bdd-74272d8d8dd8.jpg","(1420?)."
"The whole psalter translated into English metre.","[Matthew Parker]","http://bodley30.bodley.ox.ac.uk:8081/MediaManager/srvr?mediafile=/Size4/ODLodl-1-NA/1058/bodl_DouceBB233_roll334.1_frame20.jpg&userid=1&username=insight&resolution=1&servertype=JVA&cid=1&iid=ODLodl&vcid=NA&usergroup=ARTstor&profileid=4","(1567 ?)"
"Report of the Archaeological and Natural History Society of North Oxfordshire","Archaeological and Natural History Society of North Oxfordshire.","http://purl.ox.ac.uk/uuid/f0848ea23d134fa79085c94700d7d355","(1856/57)-[18?]"
"Transactions of the Archaeological and Natural History Society of North Oxfordshire","Archaeological and Natural History Society of North Oxfordshire.","http://purl.ox.ac.uk/uuid/6819bdc1f1af44bd973fe8fa1983c4f4","(1857/58)-[18?]"
"""Plan van de Simonsbaay"", aan de Kaap.","Braam, J.P. van","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/caa337df-9055-4763-88b0-c74f40378b13.jpg","(18e eeuw?)"
"""Plan der reede en 't inkomen der rivier van Cochin"" op Malabaar.","Braam, J.P. van","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/d8e98386-a5df-47cd-9602-6bd2aecde315.jpg","(18e eeuw?)"
"""Gezigt van 't eiland Ceylon"".","Braam, J.P. van","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/89590224-3da2-48d9-813e-94bb0cf9d066.jpg","(18e eeuw?)"
"Kaart van de ""kielplaats aan de oostzyde van 't Compagnieseyland in de baay van Trinconomale op Ceylon"".","Braam, J.P. van","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/408723e5-ee80-406f-983a-55f37930cd3f.jpg","(18e eeuw?)"
"Plan van de baai van Gale op Ceilon.","Braam, J.P. van","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/2bea49ec-0b4d-4ba6-ba29-657d5275966d.jpg","(18e eeuw?)"
"Ale shrifṭen fun Mendele Moykher Sforim (Sh. Y. Abramoṿits)","Mendele Mokher Sefarim","http://purl.ox.ac.uk/uuid/cef6f40fc6164d878d551afe27cf98d6","(1900?-1910?)"
"A száműzött nyelv","Kertész Imre  (1929-)","http://resolver.pim.hu/opac.pim.hu_object_1042120_resourceRepresentation_176544-19560","(2001)?."
"Plaza de La Aduana y subida a la Alcazaba","Castañeda, Miguel","http://bibliotecavirtual.malaga.es/i18n/catalogo_imagenes/imagen_id.cmd?idImagen=10013043","(Finales del S. XIX o principios del S. XX?)"
"Mercadillo en el Guadalmedina","Martínez Enríquez","http://bibliotecavirtual.malaga.es/i18n/catalogo_imagenes/imagen_id.cmd?idImagen=10013011","(Fines de siglo XIX)?"
"Iglesia de La Aurora y mercadillo en el Guadalmedina","Martínez Enríquez","http://bibliotecavirtual.malaga.es/i18n/catalogo_imagenes/imagen_id.cmd?idImagen=10013012","(Fines de siglo XIX)?"
"Mercadillo en el Guadalmedina","Martínez Enríquez","http://bibliotecavirtual.malaga.es/i18n/catalogo_imagenes/imagen_id.cmd?idImagen=10013013","(Fines de siglo XIX)?"
"Mercadillo en el Pasillo de Santa Isabel","Martínez Enríquez","http://bibliotecavirtual.malaga.es/i18n/catalogo_imagenes/imagen_id.cmd?idImagen=10013014","(Fines de siglo XIX)?"
"Mercadillo en el Guadalmedina y puente de madera [Material gráfico]","Martínez Enríquez","http://bibliotecavirtual.malaga.es/i18n/catalogo_imagenes/imagen_id.cmd?idImagen=10013015","(Fines de siglo XIX)?"
