"title","creator","mediaURL","date"
"Terein van de Koninklijke Nederlandse Hoogovens en Staalfabrieken ziende naar het westen.","Anoniem","https://images.memorix.nl/ranh/thumb/640x480/660ba2f2-1408-63e9-d12b-138d33efda79.jpg","1965-00-00 ca./1965-00-00 ca."
"Kennemerland NL-HlmNHA_54016044","Anoniem","https://images.memorix.nl/ranh/thumb/640x480/660ba2f2-1408-63e9-d12b-138d33efda79.jpg","1965-00-00 ca./1965-00-00 ca."
"NL-HlmNHA_54016044","Anoniem","https://images.memorix.nl/ranh/thumb/640x480/660ba2f2-1408-63e9-d12b-138d33efda79.jpg","1965-00-00 ca./1965-00-00 ca."
"Pers voor de karnemelkzeep in de zeepfabriek aan de Spaarnwouderstraat.","Anoniem","https://images.memorix.nl/ranh/thumb/640x480/00fea0c6-4138-33c9-d503-ec816c983b9d.jpg","1965-00-00 ca./1965-00-00 ca."
"Kennemerland NL-HlmNHA_54023932","Anoniem","https://images.memorix.nl/ranh/thumb/640x480/00fea0c6-4138-33c9-d503-ec816c983b9d.jpg","1965-00-00 ca./1965-00-00 ca."
"NL-HlmNHA_54023932","Anoniem","https://images.memorix.nl/ranh/thumb/640x480/00fea0c6-4138-33c9-d503-ec816c983b9d.jpg","1965-00-00 ca./1965-00-00 ca."
"NL-HlmNHA_54002157","Borselen, Willem Jan van (1914-1965)","https://images.memorix.nl/ranh/thumb/640x480/31c7bd82-c103-a578-4237-c94efc8b4c57.jpg","1965-00-00 ca./1965-00-00 ca."
"Afgemeerde vissersboten bij de vishal aan de Halkade in het havengebied van IJmuiden ziende naar het zuidoosten.","Borselen, Willem Jan van (1914-1965)","https://images.memorix.nl/ranh/thumb/640x480/31c7bd82-c103-a578-4237-c94efc8b4c57.jpg","1965-00-00 ca./1965-00-00 ca."
"Kennemerland NL-HlmNHA_54002157","Borselen, Willem Jan van (1914-1965)","https://images.memorix.nl/ranh/thumb/640x480/31c7bd82-c103-a578-4237-c94efc8b4c57.jpg","1965-00-00 ca./1965-00-00 ca."
"NL-HlmNHA_54013754","Anoniem","https://images.memorix.nl/ranh/thumb/640x480/80d69932-6e5a-d761-7540-38849df1893b.jpg","1965-00-00 ca./ca,1965-00-00 ca."
"Donkere Spaarne 50 - 58 tussen de Bakenessergracht en de Bakanesserstraat. Gebouw tweede van rechts: pakhuis van André de la Porte.","Anoniem","https://images.memorix.nl/ranh/thumb/640x480/80d69932-6e5a-d761-7540-38849df1893b.jpg","1965-00-00 ca./ca,1965-00-00 ca."
"Kennemerland NL-HlmNHA_54013754","Anoniem","https://images.memorix.nl/ranh/thumb/640x480/80d69932-6e5a-d761-7540-38849df1893b.jpg","1965-00-00 ca./ca,1965-00-00 ca."
"Jurk van gebreide witte wol bedrukt met zwart 'barok' patroon in de vorm van een gestileerde pauw","Maison de Bonneterie (modehuis)","http://repos.europeanafashion.eu/ext2/Gemeentemuseum%20Den%20Haag/96/961c7f0e8c40ba1f3b4518972f1472bb.jpg","1965-circa 1970"
"Retal","Scherrer, Jean Louis","http://repos.europeanafashion.eu/ext2/CER.ES%3A%20Red%20Digital%20de%20Colecciones%20de%20museos%20de%20Espa%C3%B1a/c5/c568d378b3a87c0fffbfb6bc5fd9bf24.jpg","1966 [ca] "
